time,empirical_mean_covariance,discrete_bound_mean_covariance,continuous_bound_mean_covariance
103.08,17.479327018412445,17.58091713794458,17.156481342595875
103.1,17.47858230725955,17.58088182551155,17.156454882975932
103.12,17.478930951808753,17.58084655752908,17.156428457780276
103.14,17.478750675456336,17.58081133394071,17.1564020669637
103.16,17.478968614261795,17.58077615469003,17.156375710481072
103.18,17.479112464104812,17.58074101972072,17.15634938828732
103.2,17.478941234497203,17.58070592897651,17.156323100337424
103.22,17.478733685074104,17.58067088240123,17.156296846586425
103.24,17.47841864139006,17.580635879938765,17.15627062698942
103.26,17.47795141575265,17.580600921533073,17.156244441501585
103.28,17.478127305452375,17.580566007128187,17.156218290078137
103.3,17.47844784217417,17.580531136668228,17.156192172674352
103.32,17.478603539695094,17.58049631009735,17.156166089245573
103.34,17.47813937657564,17.580461527359805,17.1561400397472
103.36,17.47753195146838,17.58042678839993,17.1561140241347
103.38,17.477949144912483,17.5803920931621,17.156088042363578
103.4,17.47743314705879,17.580357441590788,17.156062094389416
103.42,17.47737185626259,17.580322833630518,17.156036180167856
103.44,17.47710580043267,17.58028826922591,17.15601029965459
103.46,17.476925635804825,17.58025374832163,17.155984452805367
103.48,17.476825013046284,17.58021927086243,17.155958639576006
103.5,17.476727490310147,17.580184836793126,17.155932859922373
103.52,17.47646184097983,17.580150446058614,17.155907113800406
103.54,17.476766498003226,17.58011609860386,17.155881401166084
103.56,17.47658567108586,17.580081794373875,17.155855721975463
103.58,17.477088964157765,17.58004753331377,17.15583007618464
103.6,17.477091410865963,17.58001331536874,17.155804463749785
103.62,17.477130988235018,17.579979140483985,17.155778884627114
103.64,17.4772797025287,17.579945008604867,17.155753338772914
103.66,17.477621414337467,17.57991091967673,17.155727826143508
103.68,17.478025298416824,17.57987687364505,17.155702346695314
103.7,17.478629444518592,17.579842870455337,17.155676900384766
103.72,17.478768469966234,17.5798089100532,17.155651487168388
103.74,17.47874257683181,17.579774992384294,17.155626107002742
103.76,17.478859208031725,17.579741117394345,17.15560075984446
103.78,17.478779370176905,17.57970728502918,17.155575445650218
103.8,17.478659789509383,17.579673495234648,17.155550164376766
103.82,17.47831585535234,17.57963974795671,17.155524915980898
103.84,17.478317223655182,17.579606043141357,17.15549970041948
103.86,17.47863720073364,17.579572380734696,17.15547451764941
103.88,17.478763934275673,17.57953876068285,17.15544936762767
103.9,17.479020478227106,17.579505182932063,17.155424250311288
103.92,17.479227551008552,17.579471647428615,17.155399165657343
103.94,17.47898564397778,17.579438154118854,17.155374113622987
103.96,17.479401085806256,17.57940470294922,17.15534909416541
103.98,17.47944205145312,17.5793712938662,17.155324107241864
104.0,17.479631803393993,17.57933792681637,17.155299152809675
104.02,17.478984900276586,17.579304601746347,17.155274230826198
104.04,17.478825837092526,17.57927131860285,17.15524934124887
104.06,17.478738389289855,17.579238077332633,17.15522448403517
104.08,17.478770560967835,17.579204877882532,17.155199659142628
104.1,17.47878695433134,17.57917172019948,17.155174866528853
104.12,17.478974467084655,17.57913860423042,17.15515010615148
104.14,17.47872739953172,17.579105529922412,17.15512537796823
104.16,17.478476409885317,17.579072497222562,17.155100681936858
104.18,17.478825669203825,17.579039506078047,17.15507601801519
104.2,17.479169938305404,17.579006556436124,17.155051386161098
104.22,17.47907855745034,17.5789736482441,17.15502678633251
104.24,17.47908206231527,17.578940781449347,17.155002218487414
104.26,17.47919025208676,17.57890795599933,17.154977682583855
104.28,17.479308784726012,17.578875171841563,17.154953178579937
104.3,17.4789534742604,17.578842428923625,17.154928706433804
104.32,17.479057305976006,17.578809727193168,17.154904266103667
104.34,17.479185483230168,17.57877706659792,17.154879857547797
104.36,17.479076306151327,17.578744447085654,17.15485548072451
104.38,17.479480096007528,17.578711868604227,17.154831135592183
104.4,17.479334808625346,17.57867933110156,17.154806822109244
104.42,17.479072108350227,17.578646834525642,17.154782540234184
104.44,17.478816440793555,17.578614378824525,17.154758289925535
104.46,17.478625387659573,17.578581963946327,17.1547340711419
104.48,17.478430633203423,17.57854958983924,17.15470988384193
104.5,17.478371347052658,17.578517256451516,17.15468572798433
104.52,17.47807190674743,17.578484963731473,17.154661603527856
104.54,17.47840961812672,17.578452711627502,17.15463751043133
104.56,17.478830546791986,17.57842050008804,17.154613448653617
104.58,17.478499918288183,17.578388329061625,17.15458941815364
104.6,17.478124517850393,17.578356198496834,17.154565418890385
104.62,17.47817270538174,17.578324108342315,17.154541450822872
104.64,17.478224425606943,17.578292058546783,17.154517513910204
104.66,17.478526458319582,17.578260049059026,17.154493608111512
104.68,17.478576835548147,17.57822807982789,17.154469733385994
104.7,17.478691300671592,17.57819615080228,17.154445889692905
104.72,17.478597300477738,17.578164261931196,17.154422076991548
104.74,17.478686661534965,17.57813241316367,17.154398295241272
104.76,17.478945454721533,17.578100604448807,17.154374544401495
104.78,17.479101329179397,17.578068835735795,17.154350824431685
